Original,New
"BKWT","Unknown"
"BKWT.","Unknown"
"BKX","Unknown"
"BKY","Unknown"
"BKYE","Unknown"
"BKYEL","Unknown"
"BKYL","Unknown"
"BKYW","Unknown"
"BKZ","Unknown"
"BKZA","Unknown"
"BKZZZ","Unknown"
"BK[","Black"
"BK]","Black"
"BK`","Black"
"BK```","Black"
"BL","Unknown"
"BL  =","Unknown"
"BL AC","Black"
"BL BK","Unknown"
"BL CR","Unknown"
"BL GN","Unknown"
"BL GR","Unknown"
"BL GY","Unknown"
"BL Io","Unknown"
"BL K","Black"
"BL NY","Unknown"
"BL OR","Unknown"
"BL PI","Unknown"
"BL RA","Unknown"
"BL RD","Unknown"
"BL SI","Unknown"
"BL SL","Unknown"
"BL TL","Unknown"
"BL TN","Unknown"
"BL UE","Blue"
"BL W","Unknown"
"BL WH","Unknown"
"BL WT","Unknown"
"BL YE","Unknown"
"BL&WH","Unknown"
"BL'GN","Unknown"
"BL'GR","Unknown"
"BL'GY","Unknown"
"BL'SL","Unknown"
"BL'WH","Unknown"
"BL,","Unknown"
"BL-","Unknown"
"BL-BK","Unknown"
"BL-BL","Unknown"
"BL-BR","Unknown"
"BL-GL","Unknown"
"BL-GR","Unknown"
"BL-GY","Unknown"
"BL-MR","Unknown"
"BL-PR","Unknown"
"BL-RD","Unknown"
"BL-TN","Unknown"
"BL-WH","Unknown"
"BL-WT","Unknown"
"BL-YW","Unknown"
"BL.","Unknown"
"BL.'/","Unknown"
"BL.,","Unknown"
"BL.1W","Unknown"
"BL.WH","Unknown"
"BL/","Unknown"
"BL/BK","Unknown"
"BL/BL","Unknown"
"BL/BR","Unknown"
"BL/BT","Unknown"
"BL/G","Unknown"
"BL/GD","Unknown"
"BL/GN","Unknown"
"BL/GO","Unknown"
"BL/GR","Unknown"
"BL/GY","Unknown"
"BL/OR","Unknown"
"BL/PK","Unknown"
"BL/PU","Unknown"
"BL/RD","Unknown"
"BL/RE","Unknown"
"BL/S","Unknown"
"BL/SI","Unknown"
"BL/SL","Unknown"
"BL/TN","Unknown"
"BL/W","Unknown"
"BL/WH","Unknown"
"BL/WI","Unknown"
"BL/WT","Unknown"
"BL/WY","Unknown"
"BL/YE","Unknown"
"BL/YL","Unknown"
"BL/YW","Unknown"
"BL0","Unknown"
"BL00","Unknown"
"BL4","Unknown"
"BL6","Unknown"
"BL6+.","Unknown"
"BL8","Unknown"
"BL9","Unknown"
"BL;","Unknown"
"BL;'O","Unknown"
"BL;AC","Black"
"BL;K","Unknown"
"BL;UE","Blue"
"BLA","Unknown"
"BLA C","Black"
"BLA.","Unknown"
"BLA/B","Unknown"
"BLA/G","Unknown"
"BLA2C","Black"
"BLAAC","Black"
"BLABK","Black"
"BLAC","Black"
"BLAC,","Black"
"BLAC.","Black"
"BLACA","Black"
"BLACB","Black"
"BLACC","Black"
"BLACD","Black"
"BLACE","Black"
"BLACF","Black"
"BLACH","Black"
"BLACI","Black"
"BLACJ","Black"
"BLACK","Black"
"BLACL","Black"
"BLACM","Black"
"BLACS","Black"
"BLACT","Black"
"BLACV","Black"
"BLACX","Black"
"BLADC","Unknown"
"BLADE","Unknown"
"BLADK","Black"
"BLAG","Unknown"
"BLAGK","Black"
"BLAGR","Unknown"
"BLAIR","Unknown"
"BLAJ","Unknown"
"BLAJK","Black"
"BLAK","Unknown"
"BLAKC","Black"
"BLAKE","Unknown"
"BLAL","Unknown"
"BLALC","Unknown"
"BLALK","Black"
"BLAN","Unknown"
"BLANK","Unknown"
"BLAP","Unknown"
"BLAQ","Unknown"
"BLAQC","Unknown"
"BLARK","Black"
"BLAS","Unknown"
"BLASC","Unknown"
"BLAT","Unknown"
"BLAUE","Unknown"
"BLAV","Unknown"
"BLAVC","Unknown"
"BLAVK","Black"
"BLAWH","Unknown"
"BLAXC","Unknown"
"BLAXK","Black"
"BLAZC","Unknown"
"BLAck","Black"
"BLB","Unknown"
"BLBK","Unknown"
"BLBL","Unknown"
"BLBLU","Unknown"
"BLBOO","Unknown"
"BLBR","Unknown"
"BLC","Unknown"
"BLC.","Unknown"
"BLC/G","Unknown"
"BLCA","Unknown"
"BLCAK","Black"
"BLCE","Unknown"
"BLCJK","Unknown"
"BLCK","Black"
"BLCK.","Black"
"BLCKR","Unknown"
"BLCL","Unknown"
"BLD","Unknown"
"BLDG","Unknown"
"BLE","Unknown"
"BLE G","Unknown"
"BLECH","Unknown"
"BLECK","Black"
"BLED","Unknown"
"BLEE","Unknown"
"BLEED","Unknown"
"BLEEK","Unknown"
"BLEGR","Unknown"
"BLEU","Blue"
"BLEUE","Blue"
"BLEW","Unknown"
"BLF","Unknown"
"BLG","Unknown"
"BLGL","Unknown"
"BLGR","Unknown"
"BLGRN","Unknown"
"BLGRY","Unknown"
"BLGY","Unknown"
"BLGY0","Unknown"
"BLH","Unknown"
"BLHJ","Unknown"
"BLI","Unknown"
"BLIC","Unknown"
"BLID","Unknown"
"BLIE","Unknown"
"BLIK","Unknown"
"BLISS","Unknown"
"BLIT","Unknown"
"BLIU","Unknown"
"BLIUE","Blue"
"BLJ","Unknown"
"BLJK","Unknown"
"BLJUE","Blue"
"BLJY","Unknown"
"BLK","Black"
"BLK G","Unknown"
"BLK R","Unknown"
"BLK W","Unknown"
"BLK&","Black"
"BLK'","Black"
"BLK'.","Black"
"BLK+","Black"
"BLK,","Black"
"BLK-","Black"
"BLK-.","Black"
"BLK-B","Unknown"
"BLK-P","Unknown"
"BLK.","Black"
"BLK.W","Unknown"
"BLK/B","Unknown"
"BLK/G","Unknown"
"BLK/O","Unknown"
"BLK/P","Unknown"
"BLK/R","Unknown"
"BLK/S","Unknown"
"BLK/W","Unknown"
"BLK/Y","Unknown"
"BLKA","Black"
"BLKAC","Black"
"BLKBR","Unknown"
"BLKC","Black"
"BLKCH","Unknown"
"BLKCK","Unknown"
"BLKD","Black"
"BLKE","Black"
"BLKG","Black"
"BLKGA","Unknown"
"BLKGR","Unknown"
"BLKGY","Unknown"
"BLKI","Black"
"BLKJ","Black"
"BLKK","Black"
"BLKL","Black"
"BLKN","Black"
"BLKNM","Unknown"
"BLKOR","Unknown"
"BLKQ","Black"
"BLKR","Black"
"BLKRD","Unknown"
"BLKRE","Unknown"
"BLKS","Black"
"BLKSI","Unknown"
"BLKSL","Unknown"
"BLKTA","Unknown"
"BLKUE","Unknown"
"BLKW","Unknown"
"BLKWH","Unknown"
"BLKWT","Unknown"
"BLKY","Black"
